CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
802,Spain,Male,41,5,0.0,2,1,1,134626.3,0,0,2,PLATINUM,349
663,Spain,Male,35,5,0.0,2,1,1,62634.94,0,0,5,SILVER,252
655,France,Female,60,3,0.0,2,1,1,86981.45,0,0,1,PLATINUM,947
705,Germany,Female,31,9,110941.93,2,1,0,163484.8,0,0,3,DIAMOND,468
623,France,Male,40,5,118788.57,1,1,0,192867.4,0,0,3,SILVER,731
850,Germany,Female,33,2,83415.04,1,0,1,74917.64,0,0,3,PLATINUM,271
608,France,Female,28,9,0.0,2,1,1,125062.02,0,0,4,GOLD,397
640,Spain,Male,29,5,197200.04,2,1,0,141453.62,0,0,1,PLATINUM,540
579,Germany,Male,31,2,90547.48,2,1,1,18800.13,0,0,1,GOLD,304
637,Spain,Female,40,6,0.0,2,1,1,181610.6,0,0,3,PLATINUM,230
745,Spain,Male,34,9,0.0,2,1,0,50046.25,0,0,3,SILVER,848
513,Spain,Female,42,10,0.0,2,0,1,73151.25,0,0,5,DIAMOND,809
544,France,Male,37,3,84496.71,1,0,0,79972.09,0,0,5,PLATINUM,939
680,France,Female,32,5,0.0,1,1,1,150684.23,0,0,5,GOLD,589
775,France,Male,45,8,0.0,1,1,0,130376.68,0,0,4,DIAMOND,805
660,France,Male,33,0,72783.42,1,0,0,181051.99,0,0,1,PLATINUM,553
742,France,Male,39,8,140004.96,1,1,1,92985.78,0,0,3,SILVER,436
685,France,Male,35,9,0.0,1,1,0,167033.83,0,0,5,PLATINUM,980
497,Germany,Female,55,7,131778.66,1,1,1,9972.64,0,0,5,GOLD,605
630,France,Male,33,9,0.0,2,1,0,64804.59,0,0,4,PLATINUM,864
430,France,Male,35,1,118894.22,1,0,0,2923.61,0,0,5,SILVER,873
543,Spain,Male,23,5,0.0,2,1,0,117832.39,0,0,2,PLATINUM,710
689,France,Female,40,1,0.0,2,1,1,119446.64,0,0,4,SILVER,501
717,France,Female,36,5,0.0,2,1,1,145551.6,0,0,5,SILVER,412
509,France,Male,55,8,132387.91,2,1,1,170360.11,0,0,1,PLATINUM,913
567,France,Female,48,3,0.0,1,1,0,55362.45,0,0,5,DIAMOND,546
536,Spain,Female,28,4,0.0,1,1,1,136197.65,0,0,1,PLATINUM,937
525,France,Female,23,5,0.0,2,1,0,160249.1,0,0,1,PLATINUM,225
741,France,Male,37,9,105261.76,2,1,1,149503.54,0,0,1,PLATINUM,523
625,France,Male,37,1,177069.24,2,1,1,96088.54,0,0,5,GOLD,446
605,France,Female,64,2,129555.7,1,1,1,13601.79,0,0,1,SILVER,380
619,Germany,Male,41,3,147974.16,2,1,0,170518.83,0,0,3,PLATINUM,699
554,France,Male,31,1,0.0,2,0,1,192660.55,0,0,2,PLATINUM,759
803,Germany,Male,41,9,137742.9,2,1,1,166957.82,0,0,5,SILVER,567
738,France,Female,26,3,0.0,2,1,0,67484.16,0,0,4,SILVER,656
729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0,0,1,PLATINUM,632
646,Spain,Male,69,10,115462.44,1,1,0,40421.87,0,0,2,GOLD,701
731,Spain,Female,37,1,128932.4,1,1,1,180712.52,0,0,4,SILVER,868
683,Spain,Male,34,9,114609.55,2,0,1,25339.29,0,0,5,DIAMOND,739
649,Spain,Male,36,8,0.0,2,1,0,161668.15,0,0,3,GOLD,354
783,France,Male,40,6,0.0,2,1,0,109742.55,0,0,1,GOLD,382
627,France,Male,31,8,128131.73,1,1,0,96131.47,0,0,3,PLATINUM,757
823,France,Male,37,5,164858.18,1,1,1,173516.71,0,0,5,DIAMOND,970
542,Spain,Female,26,2,0.0,2,1,1,54869.54,0,0,2,PLATINUM,303
533,France,Female,35,8,0.0,2,1,1,187900.12,0,0,3,PLATINUM,558
629,France,Female,49,4,0.0,2,1,1,196335.48,0,0,5,PLATINUM,921
614,Spain,Female,41,7,146997.64,2,0,0,137791.18,0,0,5,PLATINUM,524
768,France,Male,25,0,78396.08,1,1,1,8316.19,0,0,5,DIAMOND,495
631,France,Male,29,7,0.0,2,0,1,125877.22,0,0,3,DIAMOND,617
688,Germany,Female,40,8,150679.71,2,0,1,196226.38,0,0,4,GOLD,645
707,France,Female,36,6,0.0,1,0,0,98810.78,0,0,3,PLATINUM,552
649,Germany,Female,41,4,115897.73,1,1,0,143544.48,0,0,3,GOLD,536
706,France,Male,18,2,176139.5,2,1,0,129654.22,0,0,3,PLATINUM,405
509,Spain,Male,38,2,0.0,1,0,0,168460.12,0,0,2,GOLD,450
637,France,Male,33,0,132255.99,2,0,1,74588.41,0,0,1,GOLD,284
520,Germany,Female,23,3,116022.53,2,1,1,37577.66,0,0,1,GOLD,342
592,France,Male,71,4,0.0,2,0,1,17013.54,0,0,3,PLATINUM,302
492,France,Male,35,4,141359.37,2,1,0,39519.53,0,0,3,PLATINUM,807
773,Spain,Male,43,7,138150.57,1,1,1,177357.16,0,0,2,SILVER,936
678,France,Female,41,9,0.0,1,0,0,13160.03,0,0,5,DIAMOND,911
609,France,Male,37,6,0.0,2,0,1,22030.72,0,0,1,GOLD,482
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
639,France,Female,31,3,98360.03,1,0,0,20973.8,0,0,4,PLATINUM,607
521,Spain,Female,22,10,0.0,1,1,1,101311.95,0,0,3,SILVER,882
844,France,Male,38,7,111501.66,1,1,1,119333.38,0,0,5,SILVER,962
584,France,Female,41,3,0.0,2,1,1,160095.48,0,0,4,SILVER,796
772,Spain,Male,30,4,78653.05,1,1,0,1790.48,0,0,2,DIAMOND,949
477,France,Female,30,6,131286.46,1,1,0,194144.45,0,0,2,DIAMOND,325
561,France,Male,33,6,0.0,2,0,0,173680.39,0,0,3,DIAMOND,220
642,France,Male,40,1,154863.15,1,1,1,138052.51,0,0,4,SILVER,716
546,France,Female,30,5,0.0,2,0,1,198543.09,0,0,4,DIAMOND,808
653,France,Male,29,2,0.0,2,1,1,41671.81,0,0,5,PLATINUM,718
612,France,Female,38,1,0.0,2,1,1,9209.21,0,0,2,SILVER,673
659,Germany,Male,36,4,132578.92,2,1,0,84320.94,0,0,1,DIAMOND,367
693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0,0,4,DIAMOND,459
623,France,Male,43,1,0.0,2,1,1,146379.3,0,0,2,SILVER,508
542,France,Female,39,4,109949.39,2,1,1,41268.65,0,0,4,SILVER,339
549,Germany,Female,37,1,130622.34,2,1,1,128499.94,0,0,3,SILVER,623
519,Spain,Male,39,4,111900.14,1,1,1,97577.17,0,0,2,PLATINUM,377
624,Germany,Female,45,5,151855.33,1,1,0,68794.15,0,0,5,GOLD,335
701,France,Female,37,3,0.0,2,1,1,164268.28,0,0,5,GOLD,647
560,Spain,Female,33,9,0.0,1,0,1,183358.21,0,0,1,DIAMOND,531
778,Germany,Female,48,3,102290.56,2,1,0,182691.31,0,0,1,PLATINUM,434
586,France,Male,64,1,0.0,2,1,1,53710.23,0,0,1,DIAMOND,794
506,Germany,Female,59,3,190353.08,1,1,0,78365.75,0,0,4,PLATINUM,797
573,Spain,Male,41,5,0.0,2,0,1,14479.29,0,0,3,GOLD,508
841,Spain,Male,41,1,0.0,2,0,1,193093.77,0,0,5,SILVER,842
606,Germany,Male,39,8,136000.45,2,1,0,31708.53,0,0,4,SILVER,819
410,Germany,Female,50,2,102278.79,2,1,0,89822.48,0,0,5,PLATINUM,749
730,France,Female,34,5,74197.38,2,1,0,96875.52,0,0,4,PLATINUM,402
636,France,Female,39,3,118336.14,1,1,0,184691.77,0,0,3,GOLD,349
608,Germany,Male,42,8,131390.75,2,1,0,71178.09,0,0,1,SILVER,246
760,Germany,Male,29,5,103607.24,2,0,1,86334.64,0,0,2,GOLD,588
716,France,Female,35,8,112808.18,1,0,1,17848.3,0,0,1,SILVER,565
662,France,Female,38,2,96479.81,1,1,0,120259.41,0,0,2,GOLD,859
685,Spain,Male,23,5,164902.43,1,0,0,141152.28,0,0,3,GOLD,492
566,Spain,Male,63,2,120787.18,2,1,1,52198.84,0,0,4,SILVER,803
703,Spain,Male,73,5,137761.55,1,1,1,159677.46,0,0,5,GOLD,416
749,France,Male,42,2,56726.83,2,0,1,185543.35,0,0,2,SILVER,937
660,France,Male,37,2,97324.91,1,1,0,23291.83,0,0,2,DIAMOND,942
588,Germany,Female,34,10,129417.82,1,1,0,153727.32,0,0,3,DIAMOND,300
537,France,Male,28,3,157842.07,1,1,0,86911.49,0,0,3,GOLD,348
584,Germany,Female,29,7,105204.01,1,0,1,138490.03,0,0,2,DIAMOND,453
619,France,Male,58,5,152199.33,1,1,1,86022.09,0,0,3,SILVER,520
701,France,Male,33,9,147510.34,1,1,0,190611.92,0,0,5,DIAMOND,228
640,France,Male,44,7,111833.47,1,1,0,67202.74,0,0,3,PLATINUM,355
623,Spain,Female,40,4,0.0,3,1,0,31669.18,0,0,2,PLATINUM,998
849,France,Male,27,0,0.0,2,0,1,157891.86,0,0,1,SILVER,626
557,France,Male,36,3,0.0,1,0,1,144078.02,0,0,4,SILVER,880
554,France,Male,24,10,0.0,1,0,0,92180.62,0,0,5,SILVER,398
833,France,Female,28,4,136674.51,2,0,0,5278.78,0,0,5,GOLD,502
520,Germany,Male,34,8,120018.86,2,1,1,343.38,0,0,5,SILVER,249
669,France,Male,37,4,0.0,1,1,0,132540.33,0,0,5,PLATINUM,968
485,Germany,Male,51,7,144244.59,2,1,0,51113.14,0,0,4,PLATINUM,633
774,France,Female,41,5,126670.37,1,1,0,102426.06,0,0,4,SILVER,795
603,France,Male,35,6,128993.76,2,1,0,130483.56,0,0,4,DIAMOND,733
438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0,0,4,PLATINUM,809
759,Spain,Male,31,8,0.0,2,1,1,99086.74,0,0,3,PLATINUM,451
583,France,Male,51,6,125268.03,2,1,0,165082.25,0,0,4,PLATINUM,837
714,Spain,Male,33,8,122017.19,1,0,0,162515.17,0,0,5,DIAMOND,504
695,France,Female,42,0,0.0,2,0,1,140724.64,0,0,1,PLATINUM,875
794,Spain,Male,31,0,144880.34,2,0,1,175643.44,0,0,3,PLATINUM,542
757,France,Male,47,3,130747.1,1,1,0,143829.54,0,0,1,SILVER,303
694,Spain,Female,37,3,0.0,2,1,1,147012.22,0,0,3,DIAMOND,245
709,Spain,Female,45,2,0.0,2,0,1,162922.65,0,0,1,PLATINUM,815
606,France,Male,34,5,0.0,1,1,0,161971.42,0,0,1,SILVER,891
550,France,Female,48,6,0.0,2,1,1,191870.28,0,0,2,PLATINUM,730
667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0,0,1,DIAMOND,385
642,France,Female,39,4,0.0,1,1,1,76821.24,0,0,4,PLATINUM,445
684,Spain,Male,24,8,143582.89,1,1,1,22527.27,0,0,4,GOLD,559
680,Spain,Female,58,8,0.0,2,1,1,65708.5,0,0,5,GOLD,743
527,Germany,Male,58,3,137318.42,1,1,1,126144.96,0,0,4,PLATINUM,379
651,France,Male,28,7,0.0,2,1,0,823.96,0,0,1,SILVER,383
734,Germany,Female,52,6,71283.09,2,0,1,38984.37,0,0,1,SILVER,618
568,France,Male,33,7,0.0,2,1,0,143450.61,0,0,1,PLATINUM,392
516,France,Female,29,2,104982.57,1,1,0,157378.5,0,0,4,GOLD,649
756,France,Male,34,1,103133.26,1,1,1,90059.04,0,0,4,SILVER,527
659,France,Female,38,9,0.0,2,1,1,132809.18,0,0,3,SILVER,268
536,France,Female,22,5,89492.62,1,0,0,42934.43,0,0,2,DIAMOND,231
618,Spain,Female,40,8,0.0,2,1,0,80204.38,0,0,3,DIAMOND,897
433,France,Female,49,10,0.0,1,1,1,87711.61,0,0,1,PLATINUM,682
582,France,Male,29,0,0.0,1,1,0,142516.35,0,0,2,GOLD,352
633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0,0,2,PLATINUM,527
482,France,Male,55,5,97318.25,1,0,1,78416.14,0,0,5,GOLD,408
737,Spain,Male,38,6,146282.79,2,1,0,198516.2,0,0,5,PLATINUM,703
591,France,Male,33,9,131765.72,1,1,0,118782.06,0,0,5,GOLD,597
771,France,Female,23,7,156123.73,1,1,0,72990.62,0,0,3,DIAMOND,769
628,France,Male,45,9,0.0,2,1,1,96862.56,0,0,1,GOLD,429
600,France,Male,49,7,90218.9,1,1,0,91347.76,0,0,4,DIAMOND,367
636,Spain,Female,36,1,0.0,1,1,0,43134.58,0,0,3,DIAMOND,783
613,France,Male,47,6,146034.74,1,1,1,77146.14,0,0,2,DIAMOND,793
635,Germany,Female,37,9,146748.07,1,0,1,11407.58,0,0,1,SILVER,219
655,Germany,Female,61,2,183997.7,2,1,1,161217.18,0,0,5,PLATINUM,382
700,Germany,Female,30,4,116377.48,1,1,1,134417.31,0,0,1,SILVER,635
655,Spain,Female,78,2,0.0,2,0,1,188435.38,0,0,5,SILVER,975
660,France,Female,20,6,167685.56,1,1,0,57929.9,0,0,5,DIAMOND,345
634,Germany,Male,37,3,111432.77,2,1,1,167032.49,0,0,4,GOLD,558
616,Spain,Male,30,2,0.0,2,1,0,199099.51,0,0,2,GOLD,788
560,France,Female,66,9,0.0,1,1,1,15928.49,0,0,3,DIAMOND,906
616,Spain,Male,31,7,76665.71,2,1,1,163809.08,0,0,3,GOLD,468
652,France,Male,27,10,107303.72,2,0,0,44435.76,0,0,2,GOLD,986
746,Spain,Male,36,2,0.0,2,1,1,16436.56,0,0,5,DIAMOND,718
661,Spain,Female,35,5,128415.45,1,1,0,142626.49,0,0,5,SILVER,969
537,Germany,Male,84,8,92242.34,1,1,1,186235.98,0,0,3,SILVER,768
579,Spain,Male,22,3,118680.57,1,1,1,49829.8,0,0,5,SILVER,433
630,France,Male,50,8,0.0,2,0,1,79377.45,0,0,4,PLATINUM,237
543,France,Male,42,7,0.0,1,1,1,56650.47,0,0,5,SILVER,716
634,France,Female,24,2,87413.19,1,1,0,63340.65,0,0,5,GOLD,505
656,France,Male,43,7,134919.85,1,1,0,194691.95,0,0,1,DIAMOND,421
790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0,0,5,GOLD,226
491,France,Female,68,3,107571.61,1,0,1,113695.99,0,0,4,PLATINUM,786
735,Spain,Male,39,1,60374.98,1,1,0,40223.74,0,0,3,GOLD,351
660,France,Female,38,5,110570.78,2,1,0,195906.59,0,0,1,SILVER,472
538,Spain,Male,43,5,0.0,2,1,0,126933.73,0,0,4,DIAMOND,587
461,Germany,Female,74,1,186445.31,2,1,1,196767.83,0,0,3,GOLD,885
583,France,Female,44,8,0.0,2,1,1,27431.62,0,0,4,DIAMOND,837
531,France,Female,37,1,0.0,1,1,0,4606.97,0,0,1,GOLD,427
712,Spain,Female,44,2,0.0,2,0,0,45738.94,0,0,5,PLATINUM,334
656,France,Male,44,10,143571.52,1,0,0,127444.14,0,0,1,DIAMOND,614
660,Spain,Male,33,2,80462.24,1,0,0,150422.35,0,0,2,DIAMOND,652
675,Spain,Male,35,8,0.0,2,1,0,29062.25,0,0,2,PLATINUM,329
741,France,Male,29,8,0.0,2,1,1,115994.52,0,0,5,PLATINUM,854
741,Spain,Male,35,6,74371.49,1,0,0,99595.67,0,0,2,SILVER,295
570,Germany,Female,57,5,86568.75,1,0,1,103660.31,0,0,5,SILVER,307
492,Germany,Female,38,8,57068.43,2,1,0,188974.81,0,0,3,PLATINUM,914
628,Germany,Female,36,3,91286.51,1,1,0,63085.94,0,0,4,SILVER,676
645,France,Male,32,4,0.0,2,0,1,97628.08,0,0,3,PLATINUM,820
680,Spain,Female,34,7,0.0,2,1,0,98949.85,0,0,5,PLATINUM,912
714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0,0,4,GOLD,910
712,France,Male,32,9,100606.02,1,1,0,165693.06,0,0,1,DIAMOND,542
558,France,Male,38,8,113000.92,1,1,1,152872.39,0,0,2,GOLD,784
764,France,Female,40,9,100480.53,1,1,0,124095.69,0,0,3,SILVER,261
612,France,Male,24,1,182705.05,1,1,1,171837.06,0,0,3,SILVER,615
637,Spain,Female,54,5,0.0,1,0,1,150836.98,0,0,2,PLATINUM,259
810,France,Female,51,5,0.0,2,0,1,184524.74,0,0,1,DIAMOND,527
841,France,Male,31,2,0.0,2,1,0,173240.52,0,0,3,DIAMOND,647
702,Spain,Female,26,4,135219.57,1,0,1,59747.63,0,0,4,DIAMOND,267
687,Spain,Female,21,8,0.0,2,1,1,154767.34,0,0,5,PLATINUM,449
574,France,Male,41,1,0.0,2,0,0,70550.0,0,0,3,SILVER,382
704,France,Female,33,0,130499.09,2,1,1,74804.36,0,0,2,SILVER,694
641,France,Female,42,7,125437.14,2,0,0,164128.58,0,0,3,PLATINUM,551
586,Spain,Male,29,2,132450.24,1,1,1,36176.63,0,0,3,DIAMOND,423
701,Spain,Male,35,10,159693.9,2,1,1,71173.64,0,0,3,DIAMOND,752
772,France,Female,35,9,0.0,1,0,1,25448.31,0,0,2,SILVER,615
761,Spain,Female,34,2,0.0,2,1,0,61251.25,0,0,3,SILVER,741
733,France,Male,36,5,0.0,2,1,1,109127.54,0,0,5,SILVER,513
501,France,Male,42,9,114631.23,1,0,1,91429.74,0,0,4,SILVER,450
700,Germany,Male,35,4,95853.39,2,1,0,192933.37,0,0,5,GOLD,862
629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0,0,4,SILVER,837
687,France,Female,47,7,0.0,2,1,1,177624.01,0,0,1,DIAMOND,517
613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,1,PLATINUM,482
773,Germany,Male,51,8,116197.65,2,1,1,86701.4,0,0,3,GOLD,345
681,Germany,Male,48,5,139714.4,2,0,0,73066.72,0,0,3,GOLD,541
528,France,Male,34,1,125566.9,1,1,1,176763.27,0,0,5,PLATINUM,777
809,Spain,Male,33,9,0.0,1,1,1,124045.65,0,0,5,GOLD,452
466,France,Male,29,6,0.0,2,1,1,2797.27,0,0,2,GOLD,824
660,Germany,Male,46,5,109019.65,2,1,1,33680.56,0,0,3,SILVER,603
678,France,Female,60,2,0.0,2,1,1,43821.56,0,0,4,SILVER,394
698,Spain,Female,40,0,92053.44,1,1,1,143681.83,0,0,4,DIAMOND,970
838,France,Male,31,2,0.0,2,1,0,8222.96,0,0,1,GOLD,783
721,Spain,Male,33,5,0.0,2,0,1,117626.9,0,0,1,SILVER,300
762,Spain,Female,26,7,123709.46,2,1,1,169654.57,0,0,4,PLATINUM,669
738,France,Male,49,6,106770.82,1,1,0,123499.27,0,0,1,PLATINUM,315
554,France,Female,44,6,92436.86,1,1,0,126033.9,0,0,4,GOLD,938
730,Spain,Male,38,5,118866.36,1,1,1,163317.5,0,0,1,DIAMOND,308
658,Germany,Male,29,5,75395.53,2,0,1,54914.92,0,0,4,PLATINUM,298
841,France,Male,34,4,0.0,2,1,0,141582.66,0,0,3,DIAMOND,572
510,France,Female,26,6,136214.08,1,0,0,159742.33,0,0,2,PLATINUM,853
583,Spain,Female,22,2,0.0,2,0,1,5985.36,0,0,5,DIAMOND,307
795,Spain,Male,35,8,0.0,2,1,0,167155.36,0,0,2,DIAMOND,708
604,France,Male,33,3,148659.48,1,0,0,42437.75,0,0,5,DIAMOND,376
545,France,Male,38,1,88293.13,2,1,1,24302.95,0,0,3,GOLD,331
717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0,0,2,GOLD,793
728,France,Male,38,1,115934.74,1,1,1,139059.05,0,0,5,GOLD,672
593,France,Female,35,6,133489.12,2,1,1,78101.29,0,0,4,DIAMOND,864
530,Spain,Female,36,7,0.0,2,1,0,80619.09,0,0,5,SILVER,761
804,France,Male,55,7,0.0,2,1,1,118752.6,0,0,5,SILVER,914
620,France,Male,32,6,0.0,2,1,0,56139.09,0,0,1,GOLD,818
666,France,Female,31,2,79589.43,1,0,0,4050.57,0,0,5,DIAMOND,569
842,France,Male,58,1,63492.94,1,1,1,83172.19,0,0,4,DIAMOND,354
625,Germany,Male,42,6,100047.33,1,1,0,93429.95,0,0,4,GOLD,431
545,France,Female,26,1,0.0,2,1,1,199638.56,0,0,5,PLATINUM,902
529,France,Male,22,5,0.0,1,1,0,151169.83,0,0,5,PLATINUM,588
573,Germany,Male,31,0,134644.19,1,1,1,70381.49,0,0,5,SILVER,603
647,Spain,Male,33,7,121260.19,2,1,0,77216.48,0,0,1,PLATINUM,335
850,France,Female,27,7,43658.33,2,1,1,3025.49,0,0,4,PLATINUM,585
668,Spain,Male,32,1,134446.04,1,0,1,111241.37,0,0,4,PLATINUM,503
686,France,Male,39,4,0.0,2,1,0,155023.93,0,0,4,DIAMOND,977
590,Spain,Male,37,1,0.0,2,0,0,133535.99,0,0,2,GOLD,930
497,France,Male,34,2,0.0,2,1,1,83087.13,0,0,5,DIAMOND,502
797,France,Male,45,8,0.0,1,0,0,125110.02,0,0,2,DIAMOND,456
634,Germany,Male,35,6,116269.01,1,1,0,129964.94,0,0,1,SILVER,989
718,Germany,Male,43,5,132615.73,2,1,0,32999.1,0,0,3,SILVER,795
581,France,Male,30,1,0.0,2,1,0,199464.08,0,0,4,PLATINUM,606
577,France,Female,26,1,180530.51,1,0,0,123454.62,0,0,3,DIAMOND,873
643,Germany,Male,25,4,115142.9,1,1,1,148098.95,0,0,5,SILVER,908
717,France,Male,35,4,0.0,1,1,1,167573.06,0,0,4,DIAMOND,811
741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0,0,2,GOLD,792
540,Germany,Male,37,3,129965.18,1,0,0,19374.08,0,0,5,SILVER,502
610,France,Male,34,0,103108.17,1,0,0,125646.82,0,0,1,DIAMOND,738
512,France,Female,33,6,121685.31,2,1,1,83681.97,0,0,4,GOLD,973
727,Germany,Female,31,3,82729.47,2,1,0,60212.51,0,0,4,DIAMOND,303
754,France,Male,38,2,0.0,2,1,0,180698.32,0,0,3,GOLD,357
616,Germany,Female,42,6,117899.95,2,0,0,150266.81,0,0,3,PLATINUM,653
796,France,Male,51,6,0.0,2,0,1,194733.28,0,0,1,PLATINUM,804
646,France,Female,33,2,0.0,2,0,0,198208.0,0,0,1,PLATINUM,570
538,Spain,Male,39,2,122773.5,2,1,1,58467.08,0,0,5,PLATINUM,419
588,Spain,Female,35,7,0.0,2,1,1,108739.15,0,0,1,SILVER,221
659,Germany,Male,39,8,52106.33,2,1,1,107964.36,0,0,1,SILVER,595
520,France,Male,30,3,143396.54,2,1,1,898.51,0,0,1,DIAMOND,605
629,Spain,Male,32,3,0.0,2,1,1,15404.64,0,0,1,SILVER,601
613,Spain,Female,32,0,0.0,2,0,1,126675.62,0,0,5,DIAMOND,963
470,France,Male,35,1,96473.59,1,0,0,5962.3,0,0,5,SILVER,752
664,Spain,Male,35,1,115024.5,1,0,1,169665.79,0,0,2,DIAMOND,678
720,Germany,Female,43,10,110822.9,1,0,0,72861.94,0,0,4,SILVER,987
794,France,Male,46,6,0.0,2,1,0,195325.74,0,0,4,PLATINUM,838
685,Spain,Male,38,4,0.0,2,1,1,35884.91,0,0,4,DIAMOND,966
684,Spain,Female,41,1,134177.06,1,0,0,177506.66,0,0,1,PLATINUM,456
518,France,Female,45,9,105525.65,2,1,1,73418.29,0,0,3,DIAMOND,610
733,Germany,Male,39,5,91538.51,1,1,1,93783.0,0,0,3,PLATINUM,336
661,France,Male,35,5,0.0,1,1,0,155394.52,0,0,1,GOLD,698
599,France,Male,44,10,118577.24,1,1,1,31448.52,0,0,2,SILVER,785
502,Germany,Male,33,5,174673.65,2,1,0,33300.56,0,0,5,DIAMOND,419
731,France,Female,30,5,0.0,2,1,0,189528.72,0,0,4,SILVER,418
648,France,Female,50,9,102535.57,1,1,1,189543.19,0,0,5,DIAMOND,332
850,Germany,Female,33,7,134678.13,1,1,0,113177.95,0,0,3,GOLD,596
501,France,Female,39,9,117301.66,1,0,0,182025.95,0,0,5,SILVER,721
714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0,0,4,PLATINUM,830
685,Germany,Male,43,9,108589.47,2,0,1,194808.51,0,0,4,GOLD,376
507,France,Female,35,2,0.0,2,1,0,97633.93,0,0,4,DIAMOND,412
700,France,Female,36,4,0.0,2,1,0,130789.15,0,0,2,GOLD,663
413,Germany,Male,39,1,130969.77,2,1,1,158891.79,0,0,1,PLATINUM,827
646,Germany,Female,30,10,100548.67,2,0,0,136983.77,0,0,2,DIAMOND,905
604,France,Male,36,6,116229.85,2,1,1,79633.38,0,0,3,PLATINUM,684
705,France,Male,61,4,0.0,2,1,1,191313.7,0,0,2,DIAMOND,606
557,Germany,Male,68,2,100194.44,1,1,1,38596.34,0,0,1,GOLD,888
529,Spain,Male,34,9,0.0,1,1,1,93208.22,0,0,3,DIAMOND,562
666,Germany,Female,36,3,129118.5,2,0,0,139435.12,0,0,1,DIAMOND,940
796,France,Male,30,2,137262.71,2,1,0,62905.29,0,0,1,SILVER,935
424,Spain,Male,34,7,0.0,1,1,1,16250.61,0,0,4,PLATINUM,640
693,Spain,Male,28,1,145118.83,1,0,1,77742.38,0,0,5,GOLD,944
758,Spain,Male,56,1,0.0,2,1,1,10643.38,0,0,4,PLATINUM,408
730,Spain,Male,29,2,0.0,2,1,0,14174.09,0,0,4,GOLD,523
564,Spain,Male,48,5,132876.23,1,1,0,79259.77,0,0,1,DIAMOND,741
623,France,Female,24,5,0.0,2,1,0,116160.04,0,0,1,GOLD,776
590,France,Male,31,8,112211.61,1,1,0,26261.42,0,0,3,GOLD,820
